epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.83157,1.8623,3.13931,2.43516,1.7959,0.34469,0.25221,0.30243,0.24493,0.34025,0.24896,0.28902,0.19921,0.95246,3.16042,2.37615,1.10938,0.00013336,0.00013336,0.00013336
2,11.1957,1.39171,2.50584,2.02703,1.51576,0.5572,0.27972,0.48571,0.38568,0.55085,0.27647,0.46027,0.32634,0.96102,3.31452,2.05528,1.12017,0.000255334,0.000255334,0.000255334
3,16.4602,1.22823,2.26262,1.68374,1.37966,0.73213,0.43843,0.62847,0.52273,0.73996,0.4308,0.61129,0.45344,0.83086,3.09836,1.76742,1.08495,0.000347603,0.000347603,0.000347603
4,21.7143,1.18755,2.20877,1.41621,1.401,0.83802,0.62152,0.75596,0.6275,0.83144,0.61503,0.74106,0.55114,0.78511,2.74097,1.48544,1.07778,0.000410165,0.000410165,0.000410165
5,26.9609,1.19589,2.11495,1.25133,1.29,0.89375,0.7268,0.79579,0.6733,0.88361,0.68784,0.78165,0.59812,0.72772,2.17518,1.20574,1.05921,0.000443022,0.000443022,0.000443022
6,32.1896,1.07072,2.02813,0.99303,1.20542,0.89682,0.75182,0.8237,0.69235,0.88763,0.74383,0.81864,0.62788,0.6934,1.93988,1.03532,1.04302,0.000446173,0.000446173,0.000446173
7,37.5013,1.32937,2.15055,1.61666,1.3904,0.89222,0.76037,0.83943,0.69483,0.86982,0.75191,0.82819,0.6512,0.66949,1.90594,0.8987,1.03102,0.000419617,0.000419617,0.000419617
8,42.9,0.98616,1.73375,0.83353,1.16577,0.90324,0.7314,0.83566,0.69692,0.90365,0.7355,0.83217,0.65262,0.65113,1.90115,0.83766,1.02985,0.000363356,0.000363356,0.000363356
9,48.1957,0.98819,1.88286,0.79536,1.21011,0.91265,0.73347,0.83773,0.69345,0.91265,0.73347,0.83739,0.64974,0.6367,1.88481,0.80149,1.03353,0.000277389,0.000277389,0.000277389
10,53.2867,0.92949,1.66089,0.74195,1.1565,0.91338,0.73348,0.84025,0.69629,0.91338,0.73348,0.83308,0.64711,0.63042,1.89171,0.79032,1.03415,0.000161716,0.000161716,0.000161716
